"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,         103,      -4.997305811,      -1.993936269,      -2.935023404,      0.4657187138,      -8.703793411,     0.01037145776,      0.8916077035,                 0,                 0,                 0,       0.126416047,    -0.02557427471,      0.8913011952,                 0,         85.967443
          0,           0,         104,       -5.01800714,      -2.009902692,      -2.950131602,      0.4453919885,      -8.723397787,     0.01037224916,      0.8916349559,                 0,                 0,                 0,      0.1264226286,     -0.0255745824,      0.8913284574,                 0,       85.96351115
          0,           0,         105,      -5.037489747,      -2.025615232,      -2.964636405,      0.4262282585,      -8.741142264,     0.01037299839,      0.8916610995,                 0,                 0,                 0,      0.1264289188,    -0.02557488751,      0.8913546099,                 0,       85.95982237
          0,           0,         106,       -5.05588033,      -2.041078234,      -2.978553551,      0.4081041301,      -8.757910721,     0.01037370478,      0.8916861101,                 0,                 0,                 0,      0.1264349156,    -0.02557518979,      0.8913796286,                 0,       85.95638002
          0,           0,         107,      -5.073414181,      -2.056303751,      -2.991951476,      0.3907962992,      -8.774499284,     0.01037437047,      0.8917099969,                 0,                 0,                 0,      0.1264406293,    -0.02557548742,      0.8914035229,                 0,       85.95316691
          0,           0,         108,      -5.090374841,      -2.071309055,      -3.004929968,      0.3740381287,      -8.791480075,     0.01037499937,      0.8917327978,                 0,                 0,                 0,      0.1264460774,    -0.02557577805,      0.8914263306,                 0,       85.95015442
          0,           0,         109,       -5.10703532,      -2.086114013,      -3.017597506,      0.3575742904,      -8.809151709,      0.0103755958,      0.8917545681,                 0,                 0,                 0,      0.1264512797,    -0.02557605958,      0.8914481072,                 0,       85.94731185
          0,           0,         110,      -5.123612444,      -2.100738685,      -3.030053977,      0.3412029072,       -8.82756294,     0.01037616353,       0.891775368,                 0,                 0,                 0,       0.126456254,    -0.02557633067,      0.8914689131,                 0,       85.94461384
          0,           0,         111,      -5.140242831,      -2.115201533,      -3.042381471,      0.3247974018,      -8.846584528,      0.0103767053,      0.8917952522,                 0,                 0,                 0,      0.1264610135,     -0.0255765908,       0.891488803,                 0,        85.9420429
          0,           0,         112,      -5.156982629,      -2.129518489,      -3.054641871,      0.3083061949,      -8.866002817,     0.01037722263,      0.8918142642,                 0,                 0,                 0,      0.1264655665,    -0.02557684019,      0.8915078204,                 0,       85.93959055
